Label	英文	音標	中譯	例句	翻譯	相關影片	mark_start	mark_end	syllables	main_cefr_label
senior6000-L1P01	agree(ment)	/əˋgri/ ; /əˋgrimənt/	(v./(n.)) 同意	I agree with you; it's a great idea for our project.	我同意你；這對我們的專案來說是個好主意。		2	2	agree·ment	
senior6000-L1P01	air	/ɛr/	(n.) 空氣；空中	The air quality in the city has improved greatly this year.	今年城市的空氣品質改善了很多。		2	2		A2
senior6000-L1P01	airplane/plane	/ˋɛr͵plen/ ; /plen/	(n.) 飛機	My little brother loves watching airplanes take off and land at the airport.	我弟弟喜歡看飛機在機場起降。		6	6		
senior6000-L1P02	airport	/ˋɛr͵port/	(n.) 機場	We arrived at the airport three hours early for our international flight.	為了我們的國際航班，我們提早三小時抵達機場。		5	5	air·port	A2
senior6000-L1P02	all	/ɔl/	(adj./adv./pron./n.) 所有的；全部的	All the students passed the exam, so the teacher was very proud.	所有學生都通過了考試，所以老師非常驕傲。		1	1		A1
senior6000-L1P02	allow	/əˋlaʊ/	(v.) 允許；准許	My parents don't allow me to play video games late at night.	我的父母不允許我深夜玩電動。		4	4	al·low	B1
senior6000-L1P02	almost	/ˋɔl͵most/	(adv.) 幾乎；差不多	I was so hungry, I almost ate two bowls of rice for dinner.	我太餓了，晚餐差點吃了兩碗飯。		6	6	al·most	A2
senior6000-L1P02	along	/əˋlɔŋ/	(prep./adv.) 沿著	We walked along the riverbank, enjoying the peaceful scenery.	我們沿著河岸散步，享受著寧靜的風景。		3	3		A2
senior6000-L1P02	already	/ɔlˋrɛdɪ/	(adv.) 已經	I don't need to do my homework; I've already finished it.	我不需要寫功課了；我已經寫完了。		9	9	al·ready	A2
senior6000-L1P02	also	/ˋɔlso/	(adv.) 也；同樣	My brother likes to play basketball, and I also enjoy playing it.	我哥哥喜歡打籃球，我也喜歡打。		9	9	al·so	A1
senior6000-L1P02	although	/ɔlˋðo/	(conj.) 雖然；儘管	Although it was raining, we still decided to go for a walk.	雖然下著雨，我們還是決定去散步。		1	1	al·though	B1
senior6000-L1P02	always	/ˋɔlwez/	(adv.) 總是；一直	My grandfather always tells interesting stories about his adventures.	我爺爺總是講他冒險的有趣故事。		3	3	al·ways	A1
senior6000-L1P02	am/a.m.	/æm/ ; /͵eˋɛm/	(adv.) 上午	I have to wake up at 6 am every weekday for school.	我每個平日都必須在早上六點起床上學。		8	8		
senior6000-L1P02	and	/ænd/	(conj.) 和；而且；然後	We went to the library, and then we studied for our final exams.	我們去了圖書館，然後我們準備期末考。		6	6		A1
senior6000-L1P02	angry	/ˋæŋgrɪ/	(adj.) 生氣的；憤怒的	My mom gets angry when I don't clean my room.	當我沒打掃房間時，我媽媽會生氣。		4	4	an·gry	A2
senior6000-L1P02	animal	/ˋænəm!/	(n.) 動物	Pandas are cute animals that live in the mountains of China.	熊貓是住在中國山區的可愛動物。		4	4	an·i·mal	A1
senior6000-L1P02	another	/əˋnʌðɚ/	(adj./pron.) 另一個的；再一個的	Can I have another piece of cake, please? It's delicious!	我可以再吃一塊蛋糕嗎？它很好吃！		4	4	an·oth·er	A2
senior6000-L1P02	answer	/ˋænsɚ/	(n./v.) 答案；回答	I knew the answer to the question on the test, so I felt confident.	我知道考題的答案，所以我很有自信。		4	4	an·swer	A1
senior6000-L1P02	ant	/ænt/	(n.) 螞蟻	An ant can carry food much heavier than itself.	螞蟻能搬運比自己重許多的食物。		2	2		B1
senior6000-L1P02	any	/ˋɛnɪ/	(pron./adj./adv.) 任何一個；任何一些	Do you have any questions about the lecture? Feel free to ask.	關於這次演講，你有任何問題嗎？請隨時提問。		4	4		A1
senior6000-L1P02	anybody/anyone	/ˋɛnɪ͵bɑdɪ/ ; /ˋɛnɪ͵wʌn/	(pron.) 任何人	Did anybody see my phone? I can't find it anywhere.	有人看到我的手機嗎？我到處都找不到。		2	2		
senior6000-L1P02	anything	/ˋɛnɪ͵θɪŋ/	(pron.) 任何事物	If you need anything, please let me know.	如果你需要任何東西，請讓我知道。		4	4	any·thing	A1
senior6000-L1P02	apartment	/əˋpɑrtmənt/	(n.) 公寓	We live in a small apartment downtown, which is convenient for school.	我們住在一間市中心的小公寓，上學很方便。		6	6	apart·ment	A2
senior6000-L1P03	appear	/əˋpɪr/	(v.) 出現；似乎	The sun finally appeared after three days of rain.	連續下了三天雨之後，太陽終於出現了。		4	4	ap·pear	B1
senior6000-L1P03	apple	/ˋæp!/	(n.) 蘋果	She bought a red apple for her lunch, preferring fruit over candy.	她買了一顆紅蘋果當午餐，比起糖果更偏好水果。		5	5	ap·ple	A1
senior6000-L1P03	area	/ˋɛrɪə/	(n.) 地區；區域；範圍	This area is famous for its delicious street food and night markets.	這個地區以其美味的街頭小吃和夜市聞名。		2	2	ar·ea	B1
senior6000-L1P03	arm	/ɑrm/	(n./v.) 手臂	He broke his right arm playing basketball, so he can't write for now.	他打籃球時摔斷了右臂，所以現在不能寫字。		5	5		A1
senior6000-L1P03	around	/əˋraʊnd/	(prep./adv.) 環繞；在…周圍；大約	Students gathered around the teacher to ask questions about the exam.	學生們圍在老師周圍，詢問有關考試的問題。		3	3		A2
senior6000-L1P03	arrive	/əˋraɪv/	(v.) 到達；抵達	We should arrive at the train station an hour before the departure time.	我們應該在發車時間前一小時抵達火車站。		3	3	ar·rive	A2
senior6000-L1P03	art	/ɑrt/	(n.) 藝術；美術	Many famous works of art are displayed in the National Palace Museum.	許多著名的藝術品都在故宮博物院展出。		5	5		A2
senior6000-L1P03	as	/æz/	(conj./adv./prep.) 當…的時候；如同；因為	As she entered the room, everyone turned to look at her new hairstyle.	當她走進房間時，每個人都轉頭看她的新髮型。		1	1		A1
senior6000-L1P03	ask	/æsk/	(v.) 問；要求	Don't be afraid to ask your teacher questions if you don't understand the lesson.	如果你不懂課程，不要害怕問你的老師問題。		5	5		A2
senior6000-L1P03	at	/æt/	(prep.) 在…(地點、時間)	We usually meet at the library at 3 p.m. to study together.	我們通常下午三點在圖書館見面一起讀書。		4	4		A1
senior6000-L1P03	attack	/əˋtæk/	(n./v.) 攻擊；抨擊	The brave knight protected the village from the dragon's fiery attack.	勇敢的騎士保護村莊免受惡龍的火攻。		11	11	at·tack	B1
senior6000-L1P03	aunt	/ænt/	(n.) 姨媽；姑媽；伯母；嬸嬸；舅媽	My aunt bakes the best pineapple cake; everyone loves her recipe.	我的阿姨烤的鳳梨酥最棒；每個人都喜歡她的食譜。		2	2		A2
senior6000-L1P03	away	/əˋwe/	(adv.) 離開；遠離	Please put your phone away during class; it's distracting for everyone.	上課時請把手機收起來；它會讓每個人分心。		5	5		A2
senior6000-L1P03	baby	/ˋbebɪ/	(n.) 嬰兒	The baby smiled sweetly as his mother played peek-a-boo with him.	嬰兒對著媽媽玩躲貓貓的時候，甜甜地笑了。		2	2	ba·by	A1
senior6000-L1P03	back	/bæk/	(adv./n./v./adj.) 回原處；向後	I'll be back in an hour; please wait for me at the café.	我一小時後回來；請在咖啡廳等我。		3	3		A2
senior6000-L1P03	bad	/bæd/	(adj.) 壞的；差的；嚴重的	Eating too much junk food is bad for your health and teeth.	吃太多垃圾食物對你的健康和牙齒不好。		7	7		A1
senior6000-L1P03	bag	/bæg/	(n.) 袋子；提包	She always carries a big bag filled with books to school every day.	她每天都背著一個裝滿書的大提包去上學。		6	6		A1
senior6000-L1P03	ball	/bɔl/	(n./v.) 球	My dog loves to chase the red ball in the park until he gets tired.	我的狗喜歡在公園裡追紅球，直到牠累了為止。		8	8		A1
senior6000-L1P03	banana	/bəˋnænə/	(n.) 香蕉	A banana is a healthy snack, full of potassium, perfect after exercise.	香蕉是一種健康的點心，富含鉀，運動後吃很完美。		2	2	ba·nana	A1
senior6000-L1P03	band	/bænd/	(n.) 樂團；樂隊；帶子	The school band played a beautiful song at the assembly.	學校樂團在集會上演奏了一首優美的歌曲。		3	3		A1
senior6000-L1P04	bank	/bæŋk/	(n./v.) 銀行；河岸	We need to go to the bank to deposit this money.	我們需要去銀行存這筆錢。		7	7		A1
senior6000-L1P04	baseball	/ˋbes͵bɔl/	(n.) 棒球	My brother loves to play baseball every weekend at the park.	我哥哥每個週末都喜歡在公園打棒球。		6	6	base·ball	A1
senior6000-L1P04	basket	/ˋbæskɪt/	(n.) 籃子；簍子	She put all the fresh fruit into a big basket.	她把所有新鮮水果放進一個大籃子裡。		10	10	bas·ket	B1
senior6000-L1P04	basketball	/ˋbæskɪt͵bɔl/	(n.) 籃球	Playing basketball is a great way to exercise and have fun.	打籃球是運動和玩樂的好方法。		2	2	bas·ket·ball	A1
senior6000-L1P04	bat	/bæt/	(n./v.) 球棒；蝙蝠	He swung the baseball bat with all his strength and hit a home run.	他用盡全力揮舞棒球棒，擊出了一支全壘打。		5	5		A1
senior6000-L1P04	bath	/bæθ/	(n.) 洗澡；浴缸	After a long day, a warm bath helps me relax completely.	漫長的一天之後，泡個熱水澡能讓我完全放鬆。		7	7		A1
senior6000-L1P04	bathroom	/ˋbæθ͵rum/	(n.) 浴室；廁所	Excuse me, could you tell me where the bathroom is?	不好意思，請問洗手間在哪裡？		9	9	bath·room	A1
senior6000-L1P04	be	/bi/	(v./aux.) 是；存在	I want to be a doctor when I grow up.	我長大後想成為一名醫生。		4	4		A1
senior6000-L1P04	beach	/bitʃ/	(n./v.) 海灘	We built sandcastles on the beach during our summer vacation.	暑假期間，我們在海灘上蓋沙堡。		6	6		A1
senior6000-L1P04	bean	/bin/	(n.) 豆子	My mom often adds green beans to her stir-fried vegetables.	我媽媽常在她的炒菜中加入四季豆。		6	6		A1
senior6000-L1P04	bear	/bɛr/	(v./n.) 忍受；承受；生(小孩)	I can't bear the thought of losing my dog.	我無法忍受失去我的狗的念頭。		3	3		A2
senior6000-L1P04	beautiful	/ˋbjutəfəl/	(adj.) 美麗的；漂亮的	The sunset over the ocean was absolutely beautiful.	海上的日落絕對美麗。		8	8	beau·ti·ful	A1
senior6000-L1P04	because	/bɪˋkɔz/	(conj.) 因為	I studied hard because I wanted to pass the exam.	我努力學習因為我想通過考試。		4	4	be·cause	A1
senior6000-L1P04	become	/bɪˋkʌm/	(v.) 變成；成為	After many years of practice, he became a skilled chef.	經過多年的練習，他成為一名熟練的廚師。		7	7	be·come	A2
senior6000-L1P04	bed	/bɛd/	(n.) 床	I like to read a book in bed before sleeping.	我喜歡睡覺前在床上看書。		8	8		A1
senior6000-L1P04	bedroom	/ˋbɛd͵rʊm/	(n.) 臥室	My bedroom has a big window overlooking the garden.	我的臥室有一扇大窗戶，俯瞰著花園。		2	2	bed·room	A1
senior6000-L1P04	bee	/bi/	(n.) 蜜蜂	A bee flew into the room and landed on the window.	一隻蜜蜂飛進房間，落在窗戶上。		2	2		B1
senior6000-L1P04	beef	/bif/	(n.) 牛肉	We had beef and vegetables for dinner tonight.	我們今晚晚餐吃了牛肉和蔬菜。		3	3		B1
senior6000-L1P04	before	/bɪˋfor/	(prep./conj./adv.) 在…之前	Please finish your homework before you watch TV.	請你在看電視之前完成作業。		5	5	be·fore	A1
senior6000-L1P04	begin	/bɪˋgɪn/	(v.) 開始	The class will begin at 8:00 AM sharp tomorrow.	課程將於明天早上八點整準時開始。		4	4	be·gin	A1
senior6000-L1P05	behind	/bɪˋhaɪnd/	(prep./adv.) 在…後面	The little puppy hid behind the big sofa.	小狗狗躲在大沙發後面。		5	5	be·hind	A1
senior6000-L1P05	believe	/bɪˋliv/	(v.) 相信；認為	I truly believe in your ability to succeed.	我真心相信你成功的能力。		3	3	be·lieve	A2
senior6000-L1P05	bell	/bɛl/	(n.) 鈴；鐘	The school bell rings to signal the end of class.	下課鈴響起，表示課程結束。		3	3		B1
senior6000-L1P05	belong	/bəˋlɔŋ/	(v.) 屬於	This book belongs to me; my name is written inside.	這本書是我的；我的名字寫在裡面。		3	3	be·long	B2
senior6000-L1P05	below	/bəˋlo/	(adv./prep.) 在下面；到下面	Look at the fish swimming below the surface.	看那些在水面下游動的魚。		6	6	be·low	A1
senior6000-L1P05	belt	/bɛlt/	(n./v.) 皮帶；腰帶	He fastened his seat belt before the car started.	汽車啟動前，他繫上了安全帶。		5	5		A2
senior6000-L1P05	bench	/bɛntʃ/	(n.) 長凳；長椅	We sat on the park bench to eat our sandwiches.	我們坐在公園長凳上吃三明治。		6	6		B2
senior6000-L1P05	beside	/bɪˋsaɪd/	(prep.) 在…旁邊	Please sit beside me so we can talk easily.	請坐在我旁邊，這樣我們就可以輕鬆聊天。		3	3	be·side	A2
senior6000-L1P05	best	/bɛst/	(adj./adv./v./n.) 最好的 (good 的最高級)	Always try your best; that's all that matters.	永遠盡力而為；那才是最重要的。		4	4		A1
senior6000-L1P05	between	/bɪˋtwin/	(prep./adv.) 在…之間 (兩者)	The library is between the post office and the bank.	圖書館在郵局和銀行之間。		4	4	be·tween	A1
senior6000-L1P05	bicycle/bike	/ˋbaɪsɪk!/ ; /baɪk/	(n.) 腳踏車；自行車	He rode his bicycle to school every morning.	他每天早上騎自行車上學。		4	4		
senior6000-L1P05	big	/bɪg/	(adj.) 大的	My dog is big, but he is very gentle.	我的狗很大隻，但牠非常溫馴。		4	4		A1
senior6000-L1P05	bird	/bɝd/	(n.) 鳥	A little bird sang sweetly on the tree branch.	一隻小鳥在樹枝上甜美地唱歌。		3	3		A1
senior6000-L1P05	bite	/baɪt/	(n./v.) 咬；一口	He took a big bite out of the juicy apple.	他從多汁的蘋果上咬了一大口。		5	5		B1
senior6000-L1P05	black	/blæk/	(adj./n.) 黑色的	She likes to wear black clothes for formal events.	她喜歡在正式場合穿黑色衣服。		5	5		A1
senior6000-L1P05	blind	/blaɪnd/	(adj./v.) 瞎的；盲目的	The old man was blind, but he could hear everything.	老人是盲人，但他什麼都能聽到。		5	5		B1
senior6000-L1P05	block	/blɑk/	(n./v.) 街區；塊	We live just three blocks from the school.	我們家離學校只有三個街區。		5	5		A2
senior6000-L1P05	blow	/blo/	(v.) 吹；吹動	The wind began to blow strongly as the storm approached.	隨著暴風雨接近，風開始猛烈地吹。		5	5		B1
senior6000-L1P05	blue	/blu/	(adj./n.) 藍色的	The sky was a clear, beautiful blue this morning.	今天早上的天空是清澈美麗的藍色。		7	7		A1
senior6000-L1P05	boat	/bot/	(n.) 船	We took a small boat to cross the lake.	我們搭了一艘小船過湖。		5	5		A1
senior6000-L1P06	body	/ˋbɑdɪ/	(n.) 身體；主體	Eating healthy food is good for your body.	吃健康的食物對你的身體有益。		8	8		A1
senior6000-L1P06	book	/bʊk/	(n./v.) 書；書籍	I love to read adventure books in my free time.	我喜歡在閒暇時讀冒險故事書。		6	6		A1
senior6000-L1P06	bored	/bɔrd/	(adj.) 感到厭煩的；覺得無聊的	The students felt bored during the long, uninteresting lecture.	學生們在漫長又無趣的講座中感到很無聊。		4	4		A1
senior6000-L1P06	boring	/ˋborɪŋ/	(adj.) 令人無聊的；乏味的	That movie was so boring I almost fell asleep.	那部電影真是太無聊了，我差點睡著。		5	5	bor·ing	A1
senior6000-L1P06	born	/bɔrn/	(adj.) 出生的	My grandmother was born in a small village by the sea.	我的奶奶出生在海邊的一個小村莊。		4	4		A2
senior6000-L1P06	borrow	/ˋbɑro/	(v.) 借入	Can I borrow your pen for a moment? I left mine at home.	我可以借用你的筆一下嗎？我把我的忘在家裡了。		3	3	bor·row	A2
senior6000-L1P06	boss	/bɔs/	(n./v.) 老闆；上司	My boss is fair and always listens to our ideas.	我的老闆很公平，而且總是聽取我們的意見。		2	2		A2
senior6000-L1P06	both	/boθ/	(pron./adv./adj.) 兩者都	Both my parents are teachers, and they work at the same school.	我的父母都是老師，而且他們在同一所學校工作。		1	1		A1
senior6000-L1P06	bottle	/ˋbɑt!/	(n./v.) 瓶子	Please remember to put the empty plastic bottles in the recycling bin.	請記得把空的塑膠瓶丟進回收箱。		8	8	bot·tle	A2
senior6000-L1P06	bottom	/ˋbɑtəm/	(n./adj./v.) 底部；末端	The key fell to the bottom of the deep well.	鑰匙掉到了深井的底部。		6	6	bot·tom	A1
senior6000-L1P06	bow	/bo/	(n./v.) 弓；蝴蝶結	She tied a beautiful red bow in her daughter's hair.	她在女兒的頭髮上繫了一個漂亮的紅色蝴蝶結。		6	6		B2
senior6000-L1P06	bowl	/bol/	(n.) 碗	Please put the leftover rice in a clean bowl for later.	請把剩下的米飯裝進一個乾淨的碗裡，晚點吃。		9	9		A2
senior6000-L1P06	box	/bɑks/	(n./v.) 箱子；盒子	He packed all his old toys into a large cardboard box.	他把所有舊玩具都裝進了一個大的紙箱裡。		11	11		A1
senior6000-L1P06	boy	/bɔɪ/	(n.) 男孩	The little boy was so excited to get a new toy car for his birthday.	這個小男孩很高興生日能得到一輛新玩具車。		3	3		A1
senior6000-L1P06	brave	/brev/	(adj.) 勇敢的；無畏的	It was very brave of her to stand up for her friend.	她為朋友挺身而出，非常勇敢。		4	4		B1
senior6000-L1P06	bread	/brɛd/	(n.) 麵包	I usually have toast and coffee for breakfast.	我早餐通常吃吐司和咖啡。		4	4		A1
senior6000-L1P06	break	/brek/	(n./v.) 休息；中止；破裂	Let's take a short break after this task and grab some coffee.	我們在這項任務之後小憩一下，然後去喝杯咖啡吧。		5	5		A2
senior6000-L1P06	breakfast	/ˋbrɛkfəst/	(n./v.) 早餐	My favorite breakfast is a big stack of pancakes with maple syrup.	我最喜歡的早餐是一大疊淋上楓糖漿的鬆餅。		3	3	break·fast	A1
senior6000-L1P06	bridge	/brɪdʒ/	(n./v.) 橋	We walked across the old stone bridge to get to the park.	我們走過那座古老的石橋到公園。		7	7		A2
senior6000-L1P06	bright	/braɪt/	(adj./adv.) 明亮的；聰明的	The sun is so bright today.	今天的太陽真亮。		5	5		A2
senior6000-L1P07	bring	/brɪŋ/	(v.) 帶來；拿來	Can you bring your book to class tomorrow?	你明天能把你的書帶來課堂嗎？		3	3		A2
senior6000-L1P07	brother	/ˋbrʌðɚ/	(n.) 兄弟	My younger brother is taller than me now.	我弟弟現在比我高。		3	3	broth·er	A1
senior6000-L1P07	brown	/braʊn/	(adj./v./n.) 棕色的；褐色的	That dog has beautiful brown eyes.	那隻狗有著美麗的棕色眼睛。		5	5		A1
senior6000-L1P07	bug	/bʌg/	(n./v.) 蟲子；(程式)錯誤	There's a tiny bug crawling on the window.	有隻小蟲子在窗戶上爬。		4	4		B1
senior6000-L1P07	build	/bɪld/	(v.) 建造；建立	They plan to build a new library in our town.	他們計畫在我們鎮上建造一座新圖書館。		4	4		A2
senior6000-L1P07	bus	/bʌs/	(n.) 公車；巴士	I take the bus to school every morning.	我每天早上搭公車上學。		4	4		A1
senior6000-L1P07	business	/ˋbɪznɪs/	(n.) 生意；商業；事務	My father travels a lot for business.	我爸爸為了生意經常出差。		7	7	busi·ness	A1
senior6000-L1P07	busy	/ˋbɪzɪ/	(adj.) 忙碌的	I'm too busy to go out tonight.	我今晚太忙了，不能出去。		3	3		A1
senior6000-L1P07	but	/bʌt/	(conj./prep./adv.) 但是；可是	I wanted to go, but I was too tired.	我想去，但是我太累了。		5	5		A1
senior6000-L1P07	butter	/ˋbʌtɚ/	(n./v.) 奶油；黃油	Please pass me the butter for the toast.	請把奶油遞給我，我要塗吐司。		5	5	but·ter	A1
senior6000-L1P07	butterfly	/ˋbʌtɚ͵flaɪ/	(n.) 蝴蝶	A beautiful butterfly landed on the flower.	一隻美麗的蝴蝶停在花上。		3	3	but·ter·fly	B1
senior6000-L1P07	button	/ˋbʌtn/	(n./v.) 按鈕；鈕扣	Push the red button to start the machine.	按下紅色按鈕來啟動機器。		4	4	but·ton	B1
senior6000-L1P07	buy	/baɪ/	(v./n.) 買；購買	I need to buy some groceries after work.	我下班後需要買一些生活用品。		4	4		A1
senior6000-L1P07	by	/baɪ/	(prep./adv.) 藉由；經由；在…旁邊；不遲於	Please finish your homework by Friday.	請在星期五前完成你的作業。		5	5		A2
senior6000-L1P07	cake	/kek/	(n.) 蛋糕	My mom baked a delicious chocolate cake for my birthday.	我媽媽為我的生日烤了一個美味的巧克力蛋糕。		7	7		A1
senior6000-L1P07	call	/kɔl/	(v./n.) 打電話；稱呼；呼叫	Don't forget to call me when you get home.	你到家的時候別忘了打電話給我。		4	4		A2
senior6000-L1P07	camera	/ˋkæmərə/	(n.) 相機	He bought a new camera to take pictures on his trip.	他買了一台新相機，打算在他的旅行中拍照。		5	5	cam·era	A1
senior6000-L1P07	camp	/kæmp/	(n./v.) 營隊；營地	We went to a summer camp last year and had a lot of fun.	我們去年參加了一個夏令營，玩得很開心。		6	6		A2
senior6000-L1P07	can	/kæn/	(aux./n./v.) 能夠；可以	I can speak English fluently now.	我現在能流利地說英文了。		2	2		A1
senior6000-L1P07	cap	/kæp/	(n./v.) （無邊或有帽舌的）帽子；蓋子	He wore a baseball cap to protect himself from the sun.	他戴著棒球帽來防曬。		5	5		A2
senior6000-L1P08	car	/kar/	(n.) 汽車	My dad drives his car to work every day.	我爸爸每天開車去上班。		5	5		A1
senior6000-L1P08	card	/kɑrd/	(n.) 卡片；紙牌	I received a birthday card from my best friend.	我從我最好的朋友那裡收到了一張生日卡片。		5	5		A2
senior6000-L1P08	care	/kɛr/	(n./v.) 關心；照顧；小心	The nurse took good care of the patient after the operation.	護士在手術後好好照顧了病人。		5	5		B1
senior6000-L1P08	careful	/ˋkɛrfəl/	(adj.) 小心的；仔細的	Be careful when you cross the street.	過馬路時要小心。		2	2	care·ful	A2
senior6000-L1P08	carrot	/ˋkærət/	(n.) 胡蘿蔔	Rabbits love to eat carrots.	兔子喜歡吃胡蘿蔔。		5	5	car·rot	A2
senior6000-L1P08	carry	/ˋkærɪ/	(v.) 攜帶；搬運	Can you help me carry these heavy books?	你能幫我搬這些很重的書嗎？		5	5	car·ry	A1
senior6000-L1P08	case	/kes/	(n./v.) 情況；案例；盒子；箱子	In this case, we have to wait for the teacher's decision.	在這種情況下，我們必須等待老師的決定。		3	3		A2
senior6000-L1P08	cat	/kæt/	(n.) 貓	My neighbor's cat loves to sleep in the sun.	我鄰居的貓喜歡在陽光下睡覺。		3	3		A1
senior6000-L1P08	catch	/kætʃ/	(v./n.) 抓住；趕上；感染	I usually catch the bus at 7:30 AM to go to school.	我通常在早上七點半搭公車去上學。		3	3		A1
senior6000-L1P08	celebrate	/ˋsɛlə͵bret/	(v.) 慶祝	We are going to celebrate my brother's graduation this weekend.	我們這個週末要去慶祝我哥哥的畢業。		5	5	cel·e·brate	B1
senior6000-L1P08	cellphone	/ˋsɛlfon/	(n.) 手機 (= mobile phone)	Please turn off your cellphone during the movie.	看電影時請關掉你的手機。		5	5		A1
senior6000-L1P08	cent	/sɛnt/	(n.) 分 (貨幣單位)	I found a 50-cent coin on the ground.	我在地上找到一枚五十分的硬幣。		5	5		A2
senior6000-L1P08	center	/ˋsɛntɚ/	(n.) 中心；中央	The city center is usually very busy.	市中心通常非常忙碌。		3	3	cen·ter	
senior6000-L1P08	certain	/ˋsɝtən/	(adj./pron.) 確定的；某個	I am certain that he will pass the exam.	我確定他會通過考試。		3	3	cer·tain	B1
senior6000-L1P08	chair	/tʃɛr/	(n./v.) 椅子	Please sit down on the chair over there.	請坐在那邊的椅子上。		6	6		A1
senior6000-L1P08	chance	/tʃæns/	(n./v.) 機會；可能性	I hope I get a chance to visit Japan someday.	我希望有一天能有機會去日本。		6	6		B1
senior6000-L1P08	change	/tʃendʒ/	(n./v.) 改變；零錢	I don't have any change; can you pay with a bigger bill?	我沒有零錢；你能用一張大鈔支付嗎？		5	5		A1
senior6000-L1P08	cheap	/tʃip/	(adj./adv.) 便宜的	The clothes at that store are very cheap.	那家店的衣服很便宜。		8	8		A1
senior6000-L1P08	check	/tʃɛk/	(v./n.) 檢查；核對	Please check your answers before you hand in the test.	請在交卷前檢查你的答案。		2	2		A1
senior6000-L1P08	cheese	/tʃiz/	(n.) 起司；乳酪	I love to eat cheese with crackers for a snack.	我喜歡吃起司配餅乾當點心。		5	5		A1
senior6000-L1P09	chicken	/ˋtʃɪkɪn/	(n.) 雞；雞肉	My mom usually fries chicken on weekends, and it's delicious.	我媽媽通常在週末炸雞，而且很好吃。		5	5	chick·en	A2
senior6000-L1P09	child	/tʃaɪld/	(n.) 小孩 (單數)	A happy child was playing with a toy car in the park.	一個快樂的小孩正在公園裡玩玩具車。		3	3		A1
senior6000-L1P09	chocolate	/ˋtʃɑkəlɪt/	(n.) 巧克力	She always buys a bar of chocolate when she feels stressed.	她感到壓力時總是會買一條巧克力。		7	7	choc·o·late	A1
senior6000-L1P09	choice	/tʃɔɪs/	(n./adj.) 選擇；抉擇	It was a difficult choice, but she decided to study abroad.	這是一個困難的選擇，但她決定出國留學。		5	5		B1
senior6000-L1P09	choose	/tʃuz/	(v.) 選擇；挑選	We need to choose a leader for our team by tomorrow.	我們需要在明天之前為我們的團隊選出一位領導者。		4	4		A1
